id,text,class,sentiment,label
1,"It was an overall good experience. The waiting time can be long when queueing but it is okay.
I like how Dr Hanifah and the other doctors listen and try to understand what I am going through. Thank you Doc.
It is also close to Setapak Sentral incase you need to buy something after check up and Columbia Hospital incase you need a hospital referral. A lot of food options around it as well.",,,1Positive#Staff
2,"Been there recently. Long queue as the clinic provides vaccine injection and only one doctor serves the patients. They should prioritize patient who comes for medical check up or make two doctors available at the clinics. One hour waiting for my med check up.
Nurses ok. The doctor was a bit fierce. I talked nicely but the doctor seemed angry.. Maybe she just stressed of the overwhelming number of patients.
Will I go again?No.",,,1Negative#Appointments#Staff
3,If this is not your panel clinic so that you can claim and also if you are seriously in pain please go other clinic. Long waiting time to meet doctor and seriuosly slow phamarcist just to collect medicine and pay your bill,,,1Negative#Appointments#Staff
4,"Waited for more than 2 hours just to vist a doctor!! It's so sufferring for patients who need medication or treatment as soon as possible, feeling very unwell outside the consultation room yet there is only one doctor to receive patients (which is very slow). 2 hours past not even 10 patients have been consulted.",,,1Negative#Appointments#Staff#Treatment
5,"nearby to setapak central
with other shoplots
buying medicine here
staff is okay and polite
clinic is also clean
not having consultation so not sure how the doctor is",,,1Positive#Facilities#Staff
6,Long waiting time. I register in the clinic on 11.45pm until 1.45pm still cannot see doctor. Not recommended. If got 0 star i will give 0 star.,,,1Negative#Appointments
7,"Useless doctor. Incompetence.
Couldn't do simple operation
Went on weekend, and advise to go hospital. A minute consultation cost RM39 by doing nothing.
Dont waste your time and money here.",,,1Negative#Staff#Treatment
8,Worst waiting time especially at night. Always have to wait more than an hour. Unable to tolerate visitation today due to only 1 patience was attended from 11.22pm until 12.20am.,,,1Negative#Appointments
9,"Bad experience here, they doctor never check at all
Doctor racist and even panel also charge for some medicine",,,1Negative#Staff#Treatment
10,"Hi i came to clinic last week.
by daughter had vomit and diarhea for almost a week.
Doctor said might be rota virus & mention will take more days to recover .
She just advice to monitor at home since my daughter look active.
She never check my daughter & just give referral letter.
I am quite dissapointed with the doctor action.",,,1Negative#Staff#Treatment
11,Worst place to visit if you are sick. Waited from 2.01pm til 3.25pm to see doctor. Doctor more concerned with booster vaccination & not bother people who come in sick.,,,1Negative#Appointments#Staff#Treatment
12,Very bad service...people went for vaccines have to wait up to 3 hours...doctor busy with other patients..they should not be as PPV agent.,,,1Negative#Staff
13,Waited almost 20mins just to collect medicine which is more or less equal time to queue time see Doctor. Badly need to improve speed after Dr visit as i felt the service turn around time surprisingly super slow compared to other clinic.,,,1Negative#Appointments
14,"Long waiting time to meet dr, that is still okay, but long waiting time for pharmacy?????intolerable",,,1Negative#Appointments
15,"My whole family love Dr. Hanifah, she is the first doctor make me feel she is helping patient, and not because of work or earn money. My daughter love her, and we never forget her advice.",,,1Negative#1Positive#Staff#Treatment
16,"Their service is too slow for unhealthy patient... Spending more than 2 hours... Waiting time to meet a Doctor is more than 1 hour, added 1 hour more just to wait for the prescription... Their pharmacist talk with each other added more waiting time... There is no complaint box... Better go elsewhere...",,,1Negative#Appointments#Staff
17,"One of the clinic tagline is to Smile. Well, guess what.. the Dr was not smiling at all. Need to wait 1 hour for 3 patients queuing in front of us.. may fall sicker if I come again here.",,,1Negative#Appointments#Staff
18,Dr hanifah is the best doc who consultme n my family. Im from wangsa maju before but now 3year already lives in puchong but still go to this clinic to find dr hanifah. Since 2010 until now 2019. About one hour to go there from puchong,,,1Positive#Staff#Treatment
19,I Cannot tahan already! The service is VERY VERY VERY Slow! ,,,1Negative#Appointments
20,I have been to Klinik Idzham for the past 2 years in Kota Damansara. And for the past 6 months here in Setapak. No complaints. Great service all throughout.,,,1Positive#Staff
21,"doctor lazy to check, waiting 2 hours even not croud, and wait 1 more hour to collect medicine, very bad service, waiting for nothing and the nurse just keep talking to each other",,,1Negative#Appointments#Staff
22,"Service too slow
Kindly improve patient waiting time, unless you don't care about patient satisfaction",,,1Negative#Appointments#Staff
23,"Service so slow, i'm there for almost two hours but no crowd. They knew that i will claim company, they charged me rm107 for fever medicine. So expensive, so slow. No more here.",,,1Negative#Appointments#Treatment
24,"Was there for vaccination. Quick process, polite nurses and well informative doctors",,,1Positive#Appointments#Staff
25,go on morning is rm27 then after checking and take medicine become rm60. And only go checking for cough and they give me fever medicine. And said that cough medicine is expensive. no next time,,,1Negative#Treatment
26,"Slow and wrong diagnosis, half hearted services",,,1Negative#Staff#Treatment
27,Bad experience service very slow to see Dr,,,1Negative#Appointments#Staff
28,Dr Haniffa is the best; gave good consultation and provide best solution. This clinic is going to be our family clinic from now on.,,,1Positive#Staff#Treatment
29,"Doctor too careless, too lazy to properly check. Clinic very slow, too.",,,1Negative#Staff#Treatment
30,Best and friendly clinic,,,1Positive#Staff
31,Service is super slow. Not recommend if you are in rush,,,1Negative#Appointments
32,Slow,,,1Negative#Appointments
33,Service is super2 slow....!!!!!!!,,,1Negative#Appointments
34,Nice service,,,1Positive#Staff
35,very bad service,,,1Negative#Staff
36,service slow,,,1Negative#Appointments
37,"que in a long time, I dont know why take so long time. been therr 3 times, all those time very slow",,,1Negative#Appointments
38,"Please do not come here. Will wasting your time almost 2 hours just want to meet the doctor. Treatment room is empty but why do not call patient to come in.. Clinic management should take this seriously! Almost negative feedback here but you guys just silent and no action taken!
",,,1Negative#Appointments#Staff#Treatment
